Date,Weekday,Holiday_Name,Holiday_Type,Where,Year,dtString
1-Jan,Sunday,New Year's Day,National holiday,,2017,2017-01-01
1-Jan,Sunday,Feast of the Holy Family,Observance,,2017,2017-01-01
2-Jan,Monday,New Year's Day,National holiday,"AN, AR, CL, MU",2017,2017-01-02
6-Jan,Friday,Epiphany,National holiday,,2017,2017-01-06
28-Feb,Tuesday,Day of Andaluc’a,Local holiday,Andalusia,2017,2017-02-28
1-Mar,Wednesday,Day of the Balearic Islands,Local holiday,Balearic Islands,2017,2017-03-01
1-Mar,Wednesday,Ash Wednesday,Observance,,2017,2017-03-01
6-Mar,Monday,Fifth of March,Local holiday,Zaragoza,2017,2017-03-06
17-Mar,Friday,Martyr Vicente's Feast,Local holiday,Valencia,2017,2017-03-17
19-Mar,Sunday,San Jose,Common Local holidays,21 states,2017,2017-03-19
20-Mar,Monday,March equinox,Season,,2017,2017-03-20
20-Mar,Monday,San Jose,Local holiday,"Extremadura, Madrid",2017,2017-03-20
26-Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,,2017,2017-03-26
9-Apr,Sunday,Palm Sunday,Observance,,2017,2017-04-09
13-Apr,Thursday,Maundy Thursday,Common Local holidays,15 states,2017,2017-04-13
14-Apr,Friday,Good Friday,National holiday,,2017,2017-04-14
17-Apr,Monday,Easter Monday,Common Local holidays,"CT, IB, LO, NA, PV, S, VC",2017,2017-04-17
23-Apr,Sunday,St George's Day,Local holiday,Catalonia,2017,2017-04-23
24-Apr,Monday,Day of Arag—n,Local holiday,Aragon,2017,2017-04-24
24-Apr,Monday,Castile and Le—n Day,Local holiday,Castile-Leon,2017,2017-04-24
1-May,Monday,Labor Day / May Day,National holiday,,2017,2017-05-01
2-May,Tuesday,Day of Madrid,Local holiday,Madrid,2017,2017-05-02
7-May,Sunday,Mothers' Day,Observance,,2017,2017-05-07
15-May,Monday,Feast Day of St Isidore,Local holiday,Madrid,2017,2017-05-15
17-May,Wednesday,Galicia Literature Day,Local holiday,Galicia,2017,2017-05-17
30-May,Tuesday,Day of the Canary Islands,Local holiday,Canary Islands,2017,2017-05-30
31-May,Wednesday,Canaries day observed,Local holiday,Canary Islands,2017,2017-05-31
31-May,Wednesday,Day of Castile-La Mancha,Local holiday,Castile-La Mancha,2017,2017-05-31
4-Jun,Sunday,Whit Sunday/Pentecost,Observance,,2017,2017-06-04
5-Jun,Monday,Whit Monday,Local holiday,Barcelona,2017,2017-06-05
9-Jun,Friday,Day of Murcia,Local holiday,Murcia,2017,2017-06-09
9-Jun,Friday,Day of La Rioja,Local holiday,La Rioja,2017,2017-06-09
13-Jun,Tuesday,San Antonio,Local holiday,Ceuta,2017,2017-06-13
